task,model,type,n_truth,overall_exact_accuracy,precision,recall,f1,fpr
vortex_multilabel_classification,gemini_3_1_pro,success,10,0.1625,0.10256410256410256,0.4,0.163265306122449,0.5
vortex_multilabel_classification,gemini_3_1_pro,cap_open,10,0.1625,,0.0,0.0,0.0
vortex_multilabel_classification,gemini_3_1_pro,tube_drop,10,0.1625,0.0,0.0,0.0,0.02857142857142857
vortex_multilabel_classification,gemini_3_1_pro,tube_empty,10,0.1625,0.2777777777777778,0.5,0.35714285714285715,0.18571428571428572
vortex_multilabel_classification,gemini_3_1_pro,vortex_off,10,0.1625,0.0,0.0,0.0,0.02857142857142857
vortex_multilabel_classification,gemini_3_1_pro,wrong_orientation,10,0.1625,,0.0,0.0,0.0
vortex_multilabel_classification,gemini_3_1_pro,wrong_rack,10,0.1625,0.14285714285714285,0.1,0.11764705882352941,0.08571428571428572
vortex_multilabel_classification,gemini_3_1_pro,rack_flipped,10,0.1625,0.3333333333333333,0.3,0.3157894736842105,0.08571428571428572
vortex_open_detection_strict_parser,gemini_3_1_pro,success,10,0.2,0.13725490196078433,0.7,0.2295081967213115,0.6285714285714286
vortex_open_detection_strict_parser,gemini_3_1_pro,cap_open,10,0.2,,0.0,0.0,0.0
vortex_open_detection_strict_parser,gemini_3_1_pro,tube_drop,10,0.2,,0.0,0.0,0.0
vortex_open_detection_strict_parser,gemini_3_1_pro,tube_empty,10,0.2,0.34615384615384615,0.9,0.5,0.24285714285714285
vortex_open_detection_strict_parser,gemini_3_1_pro,vortex_off,10,0.2,,0.0,0.0,0.0
vortex_open_detection_strict_parser,gemini_3_1_pro,wrong_orientation,10,0.2,0.0,0.0,0.0,0.02857142857142857
vortex_open_detection_strict_parser,gemini_3_1_pro,wrong_rack,10,0.2,,0.0,0.0,0.0
vortex_open_detection_strict_parser,gemini_3_1_pro,rack_flipped,10,0.2,,0.0,0.0,0.0
