selection_group,selection_rank,sample_id,relative_path,sampling_seed
success,1,real_human_carrie_00_success_success_tube_nonempty_02,real_human/video_Carrie/00_success/success_tube_nonempty_02,20260711
success,2,real_human_carrie_00_success_success_cap_close_12,real_human/video_Carrie/00_success/success_cap_close_12,20260711
success,3,real_human_carrie_00_success_success_correct_rack_06,real_human/video_Carrie/00_success/success_correct_rack_06,20260711
success,4,real_human_carrie_00_success_success_09_clean,real_human/video_Carrie/00_success/success_09_clean,20260711
success,5,real_human_carrie_00_success_success_correct_rack_03,real_human/video_Carrie/00_success/success_correct_rack_03,20260711
success,6,real_human_carrie_00_success_success_cap_close_13,real_human/video_Carrie/00_success/success_cap_close_13,20260711
success,7,real_human_carrie_00_success_success_tube_nonempty_06,real_human/video_Carrie/00_success/success_tube_nonempty_06,20260711
success,8,real_human_carrie_00_success_success_correct_rack_11,real_human/video_Carrie/00_success/success_correct_rack_11,20260711
success,9,real_human_carrie_00_success_success_14_clean,real_human/video_Carrie/00_success/success_14_clean,20260711
success,10,real_human_carrie_00_success_success_cap_close_09,real_human/video_Carrie/00_success/success_cap_close_09,20260711
cap_open,1,real_human_carrie_01_cap_open_fail_cap_open_14,real_human/video_Carrie/01_cap_open/fail_cap_open_14,20260711
cap_open,2,real_human_carrie_01_cap_open_fail_cap_loose_27,real_human/video_Carrie/01_cap_open/fail_cap_loose_27,20260711
cap_open,3,real_human_carrie_01_cap_open_fail_cap_loose_13,real_human/video_Carrie/01_cap_open/fail_cap_loose_13,20260711
cap_open,4,real_human_carrie_01_cap_open_fail_cap_open_08,real_human/video_Carrie/01_cap_open/fail_cap_open_08,20260711
cap_open,5,real_human_carrie_01_cap_open_fail_cap_loose_07,real_human/video_Carrie/01_cap_open/fail_cap_loose_07,20260711
cap_open,6,real_human_carrie_01_cap_open_fail_cap_open_04,real_human/video_Carrie/01_cap_open/fail_cap_open_04,20260711
cap_open,7,real_human_carrie_01_cap_open_fail_cap_loose_04,real_human/video_Carrie/01_cap_open/fail_cap_loose_04,20260711
cap_open,8,real_human_carrie_01_cap_open_fail_cap_loose_12,real_human/video_Carrie/01_cap_open/fail_cap_loose_12,20260711
cap_open,9,real_human_carrie_01_cap_open_fail_cap_open_10,real_human/video_Carrie/01_cap_open/fail_cap_open_10,20260711
cap_open,10,real_human_carrie_01_cap_open_fail_cap_open_09,real_human/video_Carrie/01_cap_open/fail_cap_open_09,20260711
tube_drop,1,real_human_carrie_02_tube_drop_fail_tube_drop_20,real_human/video_Carrie/02_tube_drop/fail_tube_drop_20,20260711
tube_drop,2,real_human_carrie_02_tube_drop_fail_tube_drop_12,real_human/video_Carrie/02_tube_drop/fail_tube_drop_12,20260711
tube_drop,3,real_human_carrie_02_tube_drop_fail_tube_drop_27,real_human/video_Carrie/02_tube_drop/fail_tube_drop_27,20260711
tube_drop,4,real_human_carrie_02_tube_drop_fail_tube_drop_28,real_human/video_Carrie/02_tube_drop/fail_tube_drop_28,20260711
tube_drop,5,real_human_carrie_02_tube_drop_fail_tube_drop_04,real_human/video_Carrie/02_tube_drop/fail_tube_drop_04,20260711
tube_drop,6,real_human_carrie_02_tube_drop_fail_tube_drop_19,real_human/video_Carrie/02_tube_drop/fail_tube_drop_19,20260711
tube_drop,7,real_human_carrie_02_tube_drop_fail_tube_drop_03,real_human/video_Carrie/02_tube_drop/fail_tube_drop_03,20260711
tube_drop,8,real_human_carrie_02_tube_drop_fail_tube_drop_14,real_human/video_Carrie/02_tube_drop/fail_tube_drop_14,20260711
tube_drop,9,real_human_carrie_02_tube_drop_fail_tube_drop_17,real_human/video_Carrie/02_tube_drop/fail_tube_drop_17,20260711
tube_drop,10,real_human_carrie_02_tube_drop_fail_tube_drop_23,real_human/video_Carrie/02_tube_drop/fail_tube_drop_23,20260711
tube_empty,1,real_human_carrie_03_tube_empty_fail_tube_empty_11,real_human/video_Carrie/03_tube_empty/fail_tube_empty_11,20260711
tube_empty,2,real_human_carrie_03_tube_empty_fail_tube_empty_06,real_human/video_Carrie/03_tube_empty/fail_tube_empty_06,20260711
tube_empty,3,real_human_carrie_03_tube_empty_fail_tube_empty_02,real_human/video_Carrie/03_tube_empty/fail_tube_empty_02,20260711
tube_empty,4,real_human_carrie_03_tube_empty_fail_tube_empty_01,real_human/video_Carrie/03_tube_empty/fail_tube_empty_01,20260711
tube_empty,5,real_human_carrie_03_tube_empty_fail_tube_empty_09,real_human/video_Carrie/03_tube_empty/fail_tube_empty_09,20260711
tube_empty,6,real_human_carrie_03_tube_empty_fail_tube_empty_03,real_human/video_Carrie/03_tube_empty/fail_tube_empty_03,20260711
tube_empty,7,real_human_carrie_03_tube_empty_fail_tube_empty_08,real_human/video_Carrie/03_tube_empty/fail_tube_empty_08,20260711
tube_empty,8,real_human_carrie_03_tube_empty_fail_tube_empty_05,real_human/video_Carrie/03_tube_empty/fail_tube_empty_05,20260711
tube_empty,9,real_human_carrie_03_tube_empty_fail_tube_empty_04,real_human/video_Carrie/03_tube_empty/fail_tube_empty_04,20260711
tube_empty,10,real_human_carrie_03_tube_empty_fail_tube_empty_07,real_human/video_Carrie/03_tube_empty/fail_tube_empty_07,20260711
vortex_off,1,real_human_carrie_04_vortex_off_fail_vortex_off_10,real_human/video_Carrie/04_vortex_off/fail_vortex_off_10,20260711
vortex_off,2,real_human_carrie_04_vortex_off_fail_vortex_off_11,real_human/video_Carrie/04_vortex_off/fail_vortex_off_11,20260711
vortex_off,3,real_human_carrie_04_vortex_off_fail_vortex_off_09,real_human/video_Carrie/04_vortex_off/fail_vortex_off_09,20260711
vortex_off,4,real_human_carrie_04_vortex_off_fail_vortex_off_06,real_human/video_Carrie/04_vortex_off/fail_vortex_off_06,20260711
vortex_off,5,real_human_carrie_04_vortex_off_fail_vortex_off_13,real_human/video_Carrie/04_vortex_off/fail_vortex_off_13,20260711
vortex_off,6,real_human_carrie_04_vortex_off_fail_vortex_off_15,real_human/video_Carrie/04_vortex_off/fail_vortex_off_15,20260711
vortex_off,7,real_human_carrie_04_vortex_off_fail_vortex_off_20,real_human/video_Carrie/04_vortex_off/fail_vortex_off_20,20260711
vortex_off,8,real_human_carrie_04_vortex_off_fail_vortex_off_04,real_human/video_Carrie/04_vortex_off/fail_vortex_off_04,20260711
vortex_off,9,real_human_carrie_04_vortex_off_fail_vortex_off_07,real_human/video_Carrie/04_vortex_off/fail_vortex_off_07,20260711
vortex_off,10,real_human_carrie_04_vortex_off_fail_vortex_off_01,real_human/video_Carrie/04_vortex_off/fail_vortex_off_01,20260711
wrong_orientation,1,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_11,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_11,20260711
wrong_orientation,2,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_07,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_07,20260711
wrong_orientation,3,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_01,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_01,20260711
wrong_orientation,4,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_03,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_03,20260711
wrong_orientation,5,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_05,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_05,20260711
wrong_orientation,6,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_06,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_06,20260711
wrong_orientation,7,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_09,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_09,20260711
wrong_orientation,8,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_04,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_04,20260711
wrong_orientation,9,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_10,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_10,20260711
wrong_orientation,10,real_human_carrie_05_wrong_orientation_fail_wrong_orientation_08,real_human/video_Carrie/05_wrong_orientation/fail_wrong_orientation_08,20260711
wrong_rack,1,real_human_carrie_06_wrong_rack_fail_wrong_rack_16,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_16,20260711
wrong_rack,2,real_human_carrie_06_wrong_rack_fail_wrong_rack_29,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_29,20260711
wrong_rack,3,real_human_carrie_06_wrong_rack_fail_wrong_rack_19,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_19,20260711
wrong_rack,4,real_human_carrie_06_wrong_rack_fail_wrong_rack_21,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_21,20260711
wrong_rack,5,real_human_carrie_06_wrong_rack_fail_wrong_rack_07,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_07,20260711
wrong_rack,6,real_human_carrie_06_wrong_rack_fail_wrong_rack_24,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_24,20260711
wrong_rack,7,real_human_carrie_06_wrong_rack_fail_wrong_rack_13,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_13,20260711
wrong_rack,8,real_human_carrie_06_wrong_rack_fail_wrong_rack_09,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_09,20260711
wrong_rack,9,real_human_carrie_06_wrong_rack_fail_wrong_rack_14,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_14,20260711
wrong_rack,10,real_human_carrie_06_wrong_rack_fail_wrong_rack_18,real_human/video_Carrie/06_wrong_rack/fail_wrong_rack_18,20260711
rack_flipped,1,real_human_carrie_07_rack_flipped_fail_rack_flipped_14,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_14,20260711
rack_flipped,2,real_human_carrie_07_rack_flipped_fail_rack_flipped_20,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_20,20260711
rack_flipped,3,real_human_carrie_07_rack_flipped_fail_rack_flipped_19,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_19,20260711
rack_flipped,4,real_human_carrie_07_rack_flipped_fail_rack_flipped_16,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_16,20260711
rack_flipped,5,real_human_carrie_07_rack_flipped_fail_rack_flipped_29,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_29,20260711
rack_flipped,6,real_human_carrie_07_rack_flipped_fail_rack_flipped_09,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_09,20260711
rack_flipped,7,real_human_carrie_07_rack_flipped_fail_rack_flipped_13,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_13,20260711
rack_flipped,8,real_human_carrie_07_rack_flipped_fail_rack_flipped_17,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_17,20260711
rack_flipped,9,real_human_carrie_07_rack_flipped_fail_rack_flipped_22,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_22,20260711
rack_flipped,10,real_human_carrie_07_rack_flipped_fail_rack_flipped_27,real_human/video_Carrie/07_rack_flipped/fail_rack_flipped_27,20260711
