cost,cost_source,input_tokens,model,num_retries,output_tokens,run_id,runtime_s,success,timestamp,task
0.003365,provider,1423,gpt_5_5_parser,1,67,p5__B,1.2993940840001414,True,1783558707.307442,vortex_open_detection_strict_parser
0.003455,provider,1423,gpt_5_5_parser,1,70,p5__B,1.30652887500014,True,1783558707.31322,vortex_open_detection_strict_parser
0.009125,provider,1423,gpt_5_5_parser,1,67,p5__B,1.3499373750000814,True,1783558707.357331,vortex_open_detection_strict_parser
0.009215,provider,1423,gpt_5_5_parser,1,70,p5__B,1.4824590419998458,True,1783558707.487911,vortex_open_detection_strict_parser
0.003455,provider,1423,gpt_5_5_parser,1,70,p5__B,1.8037662500000806,True,1783558707.8107898,vortex_open_detection_strict_parser
0.009215,provider,1423,gpt_5_5_parser,1,70,p5__B,1.9284235410000292,True,1783558707.9359932,vortex_open_detection_strict_parser
0.003175,provider,1421,gpt_5_5_parser,1,61,p5__B,2.0606540000001132,True,1783558708.069985,vortex_open_detection_strict_parser
0.008965,provider,1421,gpt_5_5_parser,1,62,p5__B,2.1928888749998805,True,1783558708.2031832,vortex_open_detection_strict_parser
0.003335,provider,1423,gpt_5_5_parser,1,66,p5__B,1.4306704999999056,True,1783558708.7456589,vortex_open_detection_strict_parser
0.010745,provider,1429,gpt_5_5_parser,1,120,p5__B,2.305413667000039,True,1783558709.6225889,vortex_open_detection_strict_parser
0.009585,provider,1431,gpt_5_5_parser,1,81,p5__B,1.9490685830000984,True,1783558692.5345988,vortex_open_detection_strict_parser
0.008875,provider,1421,gpt_5_5_parser,1,59,p5__B,2.0565070410000317,True,1783558692.639335,vortex_open_detection_strict_parser
0.005175,provider,1431,gpt_5_5_parser,1,126,p5__B,2.2287592919999497,True,1783558692.810194,vortex_open_detection_strict_parser
0.008935,provider,1421,gpt_5_5_parser,1,61,p5__B,3.057678709000129,True,1783558693.6374872,vortex_open_detection_strict_parser
0.011055,provider,1431,gpt_5_5_parser,1,130,p5__B,2.63666575000002,True,1783558695.177296,vortex_open_detection_strict_parser
0.01387,provider,1430,gpt_5_5_parser,1,224,p5__B,4.754866917000072,True,1783558695.336954,vortex_open_detection_strict_parser
0.019305,provider,1437,gpt_5_5_parser,1,404,p5__B,5.821033582999917,True,1783558696.404922,vortex_open_detection_strict_parser
0.019305,provider,1431,gpt_5_5_parser,1,405,p5__B,5.984324792000052,True,1783558696.565204,vortex_open_detection_strict_parser
0.013875,provider,1431,gpt_5_5_parser,1,224,p5__B,7.1370052910001505,True,1783558699.781077,vortex_open_detection_strict_parser
0.010725,provider,1431,gpt_5_5_parser,1,119,p5__B,15.411716333000186,True,1783558705.9964721,vortex_open_detection_strict_parser
0.008935,provider,1421,gpt_5_5_parser,1,61,p5__B,1.3752354170001126,True,1783558686.3220239,vortex_open_detection_strict_parser
0.003175,provider,1421,gpt_5_5_parser,1,61,p5__B,1.5023550410001008,True,1783558686.45033,vortex_open_detection_strict_parser
0.003175,provider,1421,gpt_5_5_parser,1,61,p5__B,1.504833250000047,True,1783558686.454956,vortex_open_detection_strict_parser
0.003175,provider,1421,gpt_5_5_parser,1,61,p5__B,1.5475354169998354,True,1783558686.4915001,vortex_open_detection_strict_parser
0.003115,provider,1421,gpt_5_5_parser,1,59,p5__B,1.7024929159999829,True,1783558686.64737,vortex_open_detection_strict_parser
0.003175,provider,1421,gpt_5_5_parser,1,61,p5__B,2.0144822919999115,True,1783558686.9589279,vortex_open_detection_strict_parser
0.003115,provider,1421,gpt_5_5_parser,1,59,p5__B,2.7763776249998955,True,1783558687.724268,vortex_open_detection_strict_parser
