model,subtype,n_present,n_absent,hits,false_alarms,recall,fpr
claude_opus_4_8,cap_open,14,137,0,4,0.0,0.029197080291970802
claude_opus_4_8,tube_drop,15,136,0,4,0.0,0.029411764705882353
claude_opus_4_8,tube_empty,18,133,0,1,0.0,0.007518796992481203
claude_opus_4_8,vortex_off,15,136,9,59,0.6,0.4338235294117647
claude_opus_4_8,wrong_orientation,14,137,0,0,0.0,0.0
claude_opus_4_8,wrong_rack,14,137,0,0,0.0,0.0
claude_opus_4_8,rack_flipped,13,138,0,0,0.0,0.0
claude_opus_4_8,other_failure,0,151,0,60,,0.3973509933774834
gemini_3_1_pro,cap_open,18,161,1,5,0.05555555555555555,0.031055900621118012
gemini_3_1_pro,tube_drop,18,161,0,1,0.0,0.006211180124223602
gemini_3_1_pro,tube_empty,18,161,8,59,0.4444444444444444,0.36645962732919257
gemini_3_1_pro,vortex_off,18,161,0,5,0.0,0.031055900621118012
gemini_3_1_pro,wrong_orientation,18,161,0,0,0.0,0.0
gemini_3_1_pro,wrong_rack,18,161,0,0,0.0,0.0
gemini_3_1_pro,rack_flipped,18,161,0,0,0.0,0.0
gemini_3_1_pro,other_failure,0,179,0,6,,0.0335195530726257
qwen3_vl,cap_open,18,162,0,0,0.0,0.0
qwen3_vl,tube_drop,18,162,0,0,0.0,0.0
qwen3_vl,tube_empty,18,162,0,0,0.0,0.0
qwen3_vl,vortex_off,18,162,1,2,0.05555555555555555,0.012345679012345678
qwen3_vl,wrong_orientation,18,162,1,8,0.05555555555555555,0.04938271604938271
qwen3_vl,wrong_rack,18,162,0,0,0.0,0.0
qwen3_vl,rack_flipped,18,162,0,0,0.0,0.0
qwen3_vl,other_failure,0,180,0,7,,0.03888888888888889
