prompt,cand,model,n,success_recall,failure_recall,balanced_accuracy,macro_f1_subtype,n_ambiguous,n_failed
p1,B,qwen3_vl,10,1.000,0.143,0.571,nan,0,0
p1,B,claude_opus_4_8,10,0.000,1.000,0.500,nan,0,0
p1,B,gemini_3_1_pro,10,0.333,0.429,0.381,nan,0,1
p1,V1,qwen3_vl,10,1.000,0.000,0.500,nan,0,0
p1,V1,claude_opus_4_8,10,0.667,0.571,0.619,nan,0,0
p1,V1,gemini_3_1_pro,10,1.000,0.286,0.643,nan,0,0
p1,V2,qwen3_vl,10,0.333,0.286,0.310,nan,0,0
p1,V2,claude_opus_4_8,10,0.000,1.000,0.500,nan,0,0
p1,V2,gemini_3_1_pro,10,1.000,0.429,0.714,nan,0,0
p2,B,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p2,B,claude_opus_4_8,10,0.000,1.000,0.500,0.029,0,0
p2,B,gemini_3_1_pro,10,0.333,0.429,0.381,0.000,0,0
p2,V1,qwen3_vl,10,1.000,0.143,0.571,0.143,0,0
p2,V1,claude_opus_4_8,10,0.000,1.000,0.500,0.026,0,0
p2,V1,gemini_3_1_pro,10,0.000,1.000,0.500,0.032,0,0
p2,V2,qwen3_vl,10,1.000,0.286,0.643,0.000,0,0
p2,V2,claude_opus_4_8,10,0.000,1.000,0.500,0.026,0,0
p2,V2,gemini_3_1_pro,10,0.000,0.714,0.357,0.041,0,0
p3,B,qwen3_vl,10,1.000,0.143,0.571,0.000,0,0
p3,B,claude_opus_4_8,10,0.333,0.857,0.595,0.000,0,0
p3,B,gemini_3_1_pro,10,0.333,0.857,0.595,0.032,0,0
p3,V1,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p3,V1,claude_opus_4_8,10,0.333,1.000,0.667,0.036,0,0
p3,V1,gemini_3_1_pro,10,0.000,0.857,0.429,0.036,0,0
p3,V2,qwen3_vl,10,0.000,1.000,0.500,0.029,0,0
p3,V2,claude_opus_4_8,10,0.000,1.000,0.500,0.029,0,0
p3,V2,gemini_3_1_pro,10,0.333,0.857,0.595,0.041,0,0
p4,B,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p4,B,claude_opus_4_8,10,0.000,0.143,0.071,0.000,9,0
p4,B,gemini_3_1_pro,10,1.000,0.000,0.500,0.000,0,0
p4,V1,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p4,V1,claude_opus_4_8,10,1.000,0.143,0.571,0.000,5,0
p4,V1,gemini_3_1_pro,10,0.333,0.286,0.310,0.095,0,0
p4,V2,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p4,V2,claude_opus_4_8,10,1.000,0.571,0.786,0.071,2,0
p4,V2,gemini_3_1_pro,10,1.000,0.286,0.643,0.000,0,0
p5,B,qwen3_vl,10,1.000,0.143,0.571,0.000,0,0
p5,B,claude_opus_4_8,10,0.333,0.857,0.595,0.000,0,0
p5,B,gemini_3_1_pro,10,0.333,0.857,0.595,0.032,0,0
p5,V1,qwen3_vl,10,1.000,0.143,0.571,0.000,0,0
p5,V1,claude_opus_4_8,10,0.333,0.857,0.595,0.000,0,0
p5,V1,gemini_3_1_pro,10,0.333,0.857,0.595,0.032,0,0
p5,V2,qwen3_vl,10,1.000,0.143,0.571,0.000,0,0
p5,V2,claude_opus_4_8,10,0.333,0.857,0.595,0.071,0,0
p5,V2,gemini_3_1_pro,10,0.333,0.857,0.595,0.032,0,0
p6,B,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p6,B,claude_opus_4_8,10,0.000,0.143,0.071,0.000,9,0
p6,B,gemini_3_1_pro,10,1.000,0.000,0.500,0.000,0,0
p6,V1,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p6,V1,claude_opus_4_8,10,0.000,0.571,0.286,0.095,3,0
p6,V1,gemini_3_1_pro,10,1.000,0.000,0.500,0.000,0,0
p6,V2,qwen3_vl,10,1.000,0.000,0.500,0.000,0,0
p6,V2,claude_opus_4_8,10,0.000,0.857,0.429,0.048,1,0
p6,V2,gemini_3_1_pro,10,1.000,0.000,0.500,0.000,0,0
