model,category,n,outcome_accuracy,exact_target_accuracy,expected_label_included_accuracy,outcome_correct,exact_correct,included_correct
MiniMax,success,61,0.08196721311475409,0.08196721311475409,0.08196721311475409,5,5,5
MiniMax,cap_open,48,0.6666666666666666,0.020833333333333332,0.041666666666666664,32,1,2
MiniMax,tube_drop,32,1.0,0.21875,0.625,32,7,20
MiniMax,tube_empty,11,0.9090909090909091,0.0,0.0,10,0,0
MiniMax,vortex_off,27,0.9259259259259259,0.8518518518518519,0.9259259259259259,25,23,25
MiniMax,wrong_orientation,12,1.0,0.0,0.0,12,0,0
MiniMax,wrong_rack,32,0.875,0.0,0.0,28,0,0
MiniMax,rack_flipped,33,0.9090909090909091,0.0,0.0,30,0,0
Gemini Flash,success,61,0.7049180327868853,0.7049180327868853,0.7049180327868853,43,43,43
Gemini Flash,cap_open,48,0.6458333333333334,0.4791666666666667,0.5208333333333334,31,23,25
Gemini Flash,tube_drop,32,0.84375,0.625,0.65625,27,20,21
Gemini Flash,tube_empty,11,0.5454545454545454,0.0,0.0,6,0,0
Gemini Flash,vortex_off,27,0.2222222222222222,0.1111111111111111,0.1111111111111111,6,3,3
Gemini Flash,wrong_orientation,12,0.4166666666666667,0.08333333333333333,0.08333333333333333,5,1,1
Gemini Flash,wrong_rack,32,0.1875,0.0625,0.0625,6,2,2
Gemini Flash,rack_flipped,33,0.6363636363636364,0.12121212121212122,0.18181818181818182,21,4,6
Gemini Pro,success,61,0.7213114754098361,0.7213114754098361,0.7213114754098361,44,44,44
Gemini Pro,cap_open,48,0.625,0.25,0.2708333333333333,30,12,13
Gemini Pro,tube_drop,32,0.90625,0.375,0.4375,29,12,14
Gemini Pro,tube_empty,11,0.5454545454545454,0.09090909090909091,0.18181818181818182,6,1,2
Gemini Pro,vortex_off,27,0.18518518518518517,0.1111111111111111,0.14814814814814814,5,3,4
Gemini Pro,wrong_orientation,12,0.3333333333333333,0.08333333333333333,0.08333333333333333,4,1,1
Gemini Pro,wrong_rack,32,0.59375,0.40625,0.46875,19,13,15
Gemini Pro,rack_flipped,33,0.7272727272727273,0.06060606060606061,0.15151515151515152,24,2,5
Qwen,success,61,0.9344262295081968,0.9344262295081968,0.9344262295081968,57,57,57
Qwen,cap_open,48,0.2708333333333333,0.10416666666666667,0.10416666666666667,13,5,5
Qwen,tube_drop,32,0.8125,0.15625,0.6875,26,5,22
Qwen,tube_empty,11,0.09090909090909091,0.0,0.0,1,0,0
Qwen,vortex_off,27,0.037037037037037035,0.037037037037037035,0.037037037037037035,1,1,1
Qwen,wrong_orientation,12,0.0,0.0,0.0,0,0,0
Qwen,wrong_rack,32,0.15625,0.03125,0.0625,5,1,2
Qwen,rack_flipped,33,0.7272727272727273,0.0,0.0,24,0,0
